Country,Year,Vehicle Class,Category Of Vehicle,Sales Of Motor Vehicles,Parameters,Consumer Category,Energy Sale For Utilities And Non-Utilities
India,"Financial Year (Apr - Mar), 2006",Quadricycle,Electric Cars,,PETROL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2010",Buses,Electric Two Wheelers,,ELECTRIC(BOV),Public Water Works & Sewage Pumping,84919.84
India,"Financial Year (Apr - Mar), 2001",Quadricycle,Electric Cars,,DIESEL,Public Water Works & Sewage Pumping,
India,"Financial Year (Apr - Mar), 2009",Quadricycle,Electric Two Wheelers,,DIESEL/HYBRID,Domestic,3830.8
India,"Financial Year (Apr - Mar), 2002",Buses,Motorcycles,2673046,CNG ONLY,Commercial,96906.88
India,"Financial Year (Apr - Mar), 2008",Three Wheelers,Electric Cars,,LPG ONLY,Miscellaneous,
India,"Financial Year (Apr - Mar), 2002",Trucks,Mopeds,,LPG ONLY,Commercial,28714.75
India,"Financial Year (Apr - Mar), 2017",Three Wheelers,Electric Two Wheelers,,DIESEL/HYBRID,Miscellaneous,92968.68
India,"Financial Year (Apr - Mar), 2022",Quadricycle,Mopeds,,PETROL,Public Water Works & Sewage Pumping,84586.38
India,"Financial Year (Apr - Mar), 2024",Quadricycle,Electric Two Wheelers,1295160,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,754.76
India,"Financial Year (Apr - Mar), 2011",Four Wheelers,Motorcycles,1747095,ELECTRIC(BOV),Agriculture,93367.08
India,"Financial Year (Apr - Mar), 2008",Quadricycle,CNG Cars,,DIESEL,Agriculture,644.95
India,"Financial Year (Apr - Mar), 2002",Quadricycle,Quadricycle,5525989,ELECTRIC(BOV),Agriculture,
India,"Financial Year (Apr - Mar), 2000",Buses,Scooters,6924550,DIESEL/HYBRID,Domestic,48478.69
India,"Financial Year (Apr - Mar), 2012",Four Wheelers,CNG Cars,5302895,CNG ONLY,Miscellaneous,5637.12
India,"Financial Year (Apr - Mar), 2022",Buses,CNG Cars,7074746,LPG ONLY,Public Water Works & Sewage Pumping,36077.63
India,"Financial Year (Apr - Mar), 2001",Three Wheelers,Electric Cars,2549448,DIESEL/HYBRID,Miscellaneous,26791.31
India,"Financial Year (Apr - Mar), 2010",Three Wheelers,CNG Cars,6710379,ELECTRIC/PLUG-IN,Agriculture,2728.6
India,"Financial Year (Apr - Mar), 2019",Buses,Mopeds,412690,DIESEL/HYBRID,Domestic,
India,"Financial Year (Apr - Mar), 2009",Quadricycle,Quadricycle,6467294,DIESEL/HYBRID,Agriculture,15840.3
India,"Financial Year (Apr - Mar), 2019",Quadricycle,Diesel Cars,,ELECTRIC(BOV),Agriculture,
India,"Financial Year (Apr - Mar), 2016",Three Wheelers,Scooters,,ELECTRIC/PLUG-IN,Public Water Works & Sewage Pumping,67091.62
India,"Financial Year (Apr - Mar), 2001",Buses,Electric Two Wheelers,,ELECTRIC/PLUG-IN,Miscellaneous,817.72
India,"Financial Year (Apr - Mar), 2005",Buses,Electric Two Wheelers,,ELECTRIC(BOV),Agriculture,1515.67
India,"Financial Year (Apr - Mar), 2002",Quadricycle,Electric Two Wheelers,,ELECTRIC(BOV),Commercial,
India,"Financial Year (Apr - Mar), 2019",Two Wheelers,Mopeds,81295,DIESEL,Agriculture,76169.45
India,"Financial Year (Apr - Mar), 2022",Trucks,Scooters,564594,LPG ONLY,Commercial,9821.86
India,"Financial Year (Apr - Mar), 2001",Two Wheelers,Quadricycle,,PETROL,Public Water Works & Sewage Pumping,8827.54
